Airport name,﻿Main city served,ICAO,IATA,ARC,INTL - NTL,Civil - joint civil/military,Latitude,Longitude
Lvliang Dawu Airport,Lvliang,ZBLL,LLV,4C,NTL,Civil,37.683333,111.142778
Shuozhou Zirun Airport,Shuozhou,ZBSG,SZH,4C,NTL,Civil,39.273241,112.691552
Taiyuan Wusu International Airport,Taiyuan,ZBYN,TYN,4E,INTL,Civil,37.746899,112.627998
Xinzhou Wutaishan Airport,Xinzhou,ZBXZ,WUT,4C,NTL,Joint civil/military,38.597456,112.969173
Yuncheng Yanhu International Airport,Yuncheng,ZBYC,YCU,4D,INTL,Civil,35.116391,111.031389
Aba Hongyuan Airport,Barkam (Aba),ZUHY,AHJ,4C,NTL,Civil,32.53154,102.35224
Bazhong Enyang Airport,Bazhong,ZUBZ,BZX,4C,NTL,Civil,31.73842,106.644872
Chengdu Shuangliu International Airport,Chengdu,ZUUU,CTU,4F,INTL,Civil,30.558257,103.945966
Chengdu Tianfu International Airport,Chengdu,ZUTF,TFU,4F,INTL,Civil,30.31252,104.441284
Daocheng Yading Airport,Daocheng (Ganzi),ZUDC,DCY,4C,NTL,Civil,29.31632,100.060317
Dazhou Jinya Airport,Dazhou,ZUDA,DZH,4C,NTL,Civil,31.048815,107.435646
Ganzi Gesaer Airport,Ganzi (Ganzi),ZUGZ,GZG,4C,NTL,Civil,31.7575,99.554167
Guangyuan Panlong Airport,Guangyuan,ZUGU,GYS,4C,NTL,Civil,32.390254,105.694571
Jiuzhai Huanglong Airport,Jiuzhaigou (Aba),ZUJZ,JZH,4D,NTL,Civil,32.853333,103.682222
Ganzi Kangding Airport,Kangding (Ganzi),ZUKD,KGT,4C,NTL,Civil,30.142464,101.73872
Langzhong Gucheng Airport,Langzhong (Nanchong),ZULA,LZG,4C,NTL,Civil,31.50191,106.034417
Luzhou Yunlong Airport,Luzhou,ZULZ,LZO,4C,NTL,Joint civil/military,29.030357,105.468407
Mianyang Nanjiao Airport,Mianyang,ZUMY,MIG,4D,NTL,Joint civil/military,31.428101,104.740997
Nanchong Gaoping Airport,Nanchong,ZUNC,NAO,4C,NTL,Joint civil/military,30.798104,106.16415
Panzhihua Baoanying Airport,Panzhihua,ZUZH,PZI,4C,NTL,Civil,26.54,101.79852
Xichang Qingshan Airport,Xichang (Liangshan),ZUXC,XIC,4D,NTL,Joint civil/military,27.9891,102.183998
Yibin Wuliangye Airport,Yibin,ZUYB,YBP,4C,NTL,Joint civil/military,28.858431,104.526157
Tianjin Binhai International Airport,Tianjin,ZBTJ,TSN,4E,INTL,Civil,39.124401092499994,117.346000671
Akesu Hongqipo Airport,Akesu (Akesu),ZWAK,AKU,4C,NTL,Joint civil/military,41.262501,80.291702
Alaer Talimu Airport,Alaer,ZWAL,ACF,4C,NTL,Civil,40.434748,81.26206
Aletai Xuedu Airport,Aletai (Aletai),ZWAT,AAT,4C,NTL,Civil,47.749886,88.085808
Bole Alashankou Airport,Bole (Bo'ertala),ZWBL,BPL,4C,NTL,Civil,44.895461,82.30007
Bu'erjin Kanasi Airport,Bu'erjin (Aletai),ZWKN,KJI,4C,NTL,Civil,48.2223,86.9959
